Country,pcode,gis_name,name_alt,name_fr,name_sp,loc_type,address_1,address_2,address_3,address_4,city,ds_code,x,y
Ecuador,ECUp000674,Esmeraldas,Field-Office Esmeraldas,,Oficina de terreno de Esmeraldas,UNHCR Field Office,1-02,Bastidas,,"Barbisotty, Las Palmas",Esmeraldas,ECUES,-8867162.7957,110114.82770000026
Ecuador,ECUp000399,Lago Agrio,Field-Office Lago Agrio,,Oficina de terreno de Lago Agrio,UNHCR Field Office,,Guayas,,"Venezuela y Loja, esquina",Lago Agrio,ECULA,-8559480.3006,9699.289900001138
Ecuador,ECUp000714,Cuenca,Cuenca Field Unit,,Unidad de Terreno de Cuenca,UNHCR Field Unit,N 6-15,Luis Moreno Mora,,Cornelio Merchan,Cuenca,ECUCU,-8794542.3991,-324127.694600001
Ecuador,ECUp000821,Guayaquil,Guayaquil Sub-Office,,Sub-Oficina del Sur,UNHCR Sub-Office,Mz. 94 SI.22,Calle Vicente Norero,,Nahím Isaías,Guayaquil,ECUGU,-8894156.5896,-240531.45230000094
Ecuador,ECUp000820,Pichincha,Sub-Oficina Sierra Centro (SOPI),,Sub-Oficina Sierra Centro,UNHCR Field Office,N36-174,Carlos Arroyo Del Río,,Manuel María Sánchez.,Quito,ECUQS,-8735744.3784,-19889.07800000161
Ecuador,ECUp000823,Ambato,,,Unidad de Terreno de Ambato,UNHCR Field Unit,1281,Manuela Sáenz,,López de Ayala,Ambato,ECUAM,-8754096.3529,-140522.8585000001
Ecuador,ECUp000822,Huaquillas,Huaquillas Field-Office,,Oficina de terreno de Huaquillas,UNHCR Field Office,,Panamericana Norte,,Eje vial Nro. 1 Puente Internacional de la Paz,Huaquillas,ECUHU,-8929810.9982,-389620.02430000156
Ecuador,ECUp000825,Manta,Manta Field Unit,,Unidad de Terreno de Manta,UNHCR Field Unit,,Av. Circunvalación,,Calle 23,Manta,ECUMA,-8987138.2053,-104856.2564000003
Egypt,EGYp000129,Cairo,,Le Caire,,UNHCR Country Office,17 Makka El Mokarama St.,"3rd Proximity , 7th District, 6 October City",,,Cairo,ARECA,3444528.2749999985,3500971.9723000005
Egypt,EGYp000898,Alexandria,Alexandria,Alexandrie,,UNHCR Field Office,,,,,,AREAL,3334877.899700001,3662394.820799999
Eritrea,ERIp000131,Asmara,,Asmara,,UNHCR Country Office,House Number 108,Emperor Yohannes Avenue,,,Asmara,ERTAS,4334088.0077,1727465.1195
Western Sahara,ESHp000379,Laayoune*,Laayoune,Laayoune,,UNHCR Liaison Office,"Villa 04,Quartier Moulay Rachid",165 Rue El Zarktouni,P.O. Box 755,,Laayoune,WSHLA,-1469595.3896999992,3143763.663899999
Spain,ESPp000318,Madrid,,Madrid,,UNHCR Multi-Country Office,Avenida General Peron 32,,,,Madrid,SPAMA,-412550.03290000185,4926872.127599999
Estonia,ESTp000001,Tallinn,,,,UNHCR Field Unit,,,,,Tallinn,ESTTA,2756324.2479999997,8274628.7754999995
Ethiopia,ETHp000869,Melkadida,,Melkadida,,UNHCR Sub-Office,,,,,,ETHMK,4644538.5821,503977.1581000015
Ethiopia,ETHp030016,Mekelle,,Mekelle,,UNHCR Sub-Office,,,,,,ETHME,4391823.243099999,1514307.5452000014
Ethiopia,ETHp000874,Sheder,,Sheder,,UNHCR Field Unit,,,,,,ETHSD,4800241.176199999,1083978.0353000015
